,text,anger,disgust,fear,joy,sadness,surprise
951,"_ግብ ጠባቂው አማኑኤል ኳሱን ክሮስ የሚያደርገው መስሎት ከጎሉ ወደ ውጭ ፈቀቅ ብሏል፣

_ኳሱ የተመጠነ ስለሆነ ኤማኑኤል ኳሱን ሳያቆም፣ በቀኝ እግሩ መታው፣ ጎልም ሆነ።",0,0,1,0,0,1
957, በጣም! ለመመረቂያ ፅሁፍ ይኼን ያህል መሄዱ . . በዛ ላይ የመግቢያ ግጥሞቹ ለጉድ ይገርማሉ!,0,0,0,1,0,1
972, ጌታ ሆይ አካዉንቱ ሀክ ተደርጎ ነው በለኝ,0,0,1,0,0,1
994,ይህ ማለት ሀሳባቸው የግድ ሁሌ አንድ ይሆናል ማለት አይደለም! የየራሳቸው ህልውና ያላቸው ሰዎች ናቸውና! ስለዚህ አቶ ለማ ከዶክተሩ በሃሳብ ቢለያዩ ምን ያስደንቃል!! ጎበዝ ነገሩን አናቅልል! ,0,0,0,1,0,1
997,ethiopia: ጀግናው ታዬ ቦጋለ አሁን ያደረገው አስገራሚ ንግግር  via ,0,0,0,1,0,1
998, የጀመርኩትን ሳልጨርስማ አልሄድም ብሎ መሰለኝ....ብቻ ሰይጣን አያሳስትህ...ወገቡ ግን ተረፈ?,0,0,0,1,0,1
1044," እነግርሻለሁ ሀና።  የ'ብሔር ጭቆና' ትርክቱ ወደ 'ባርነት' አድጎ፤ የዘር አቀንቃኙ የነፃነት ታጋይ ሆኖ ሲቀርብ ነገሩ ደነቀኝ
please note that i have sympathy for the kid",0,0,1,0,0,1
1075,#ethiopian - አቶ ታዬ የኦዲፒ ከፍተኛ ባለስልጣን አፈረጠው አቶ ለማ በዚሳምንት ምነካው ሲገለጥ ።  via ,0,0,1,0,0,1
1095,"ማቲ2
1-2፤ኢየሱስም፡በይሁዳ፡ቤተ፡ልሔም፡በንጉሡ፡በሄሮድስ፡ዘመን፡በተወለደ፡ጊዜ፥እንሆ፥ሰብአ፡
ሰገል፦የተወለደው፡የአይሁድ፡ንጉሥ፡ወዴት፡ነው፧ኮከቡን፡በምሥራቅ፡አይተን፡ልንሰግድለት፡
መጥተናልና፥እያሉ፡ከምሥራቅ፡ወደ፡ኢየሩሳሌም፡መጡ። ",0,0,1,0,0,1
1104,"ይህም አለ!

ከሰሞኑ በስህተት የተላከላቸው 1 ሚልዮን ብር ለባንኩ ወስደው ያስረከቡት የመቀለ ከተማ ነዋሪው ድርጊት ብዙዎችን አጀብ አሰኝቷል። የገንዘቡ ባለቤትም ገንዘቡን ተቀብሏል።

 ",0,1,0,0,0,1
1115,"የሁሉም አካል ድምፅ መሰማት አለበት፣ ሆቴል ውስጥ ለሚደረግ ጋዜጣዊ መግለጫ ደግሞ እንደ ሰላማዊ ሰልፍ ""ፈቃድ"" ያስፈልጋል መባሉ ግርምትን ይጭራል። ለማንኛውም የመግለጫው ዝርዝር ሲደርሰኝ አቀርበዋለሁ።",0,0,0,1,0,1
1119, የጌታ መምጣት አየረሁድና አሀረዛብን  ያስቀረ ነው ሜን ኘልካም ገና ጌታ በልባችን ይወለድ,0,0,1,0,0,1
1149,ይሄ ደፋር የሰው አንጎል በኢቤይ ሊሸጥ የሞከረ ጉደኛ ሰውዬ መጨረሻውን ሳልሰማ  እዚህ ደረስን ... ,0,1,0,0,0,1
1166,"አንዱ ሹፌር አጠገቤ ቁጭ በሎ
እየቃም ትራፊክ ከሩቅ ሲያይ ለምዶበት
ተርዚናውን ሉሉ አለው",0,0,0,1,0,1
1187," huh?...""...ናቸው ብሎ ያስባልን?..."" ደመቀ መኮንን አስቦ ያውቃል እንዴ ለመሆኑ?",0,0,1,0,0,1
1206,"ብፓና ኢዜማ ውይይት ጀመሩ ተባለ።
ሲጀመር ጨቅላው ለአንዳርጋቸው ፅጌ ሹክ ያለው ነገር ይኸንኑ ነበር።",0,0,1,0,0,1
1220,   ይጀምራል?  አጭበርባሪ ነው?  አፈሰሰ?  ይጫጫል?  ይንቀጠቀጥና ይጭበረበር?,0,1,0,0,0,1
1225,alarming news ታዋቂው ፊዚከር ፕሮፌሰር ክራውስ  ደቡብ አፍሪካዊ ቡሽሪም ይሁን ካሜሮናዊው ሃበሻ ሚስት ያለው  ነብይ  ባይ ነኝ  ሁለቱም ሌባ ናቸው ይላሉ ,0,1,0,0,0,1
1245,ሰውየው የኦዲፒን ገመድ በመበጠስ የአንድ ክልል ተመራጭነቱ አብቅቷል፤በኢህአዴግ ግብአተመሬት ላይም የሁሉም ክልል(95%) ወካይ ፓርቲዎች መሪ ሆኗል።ይህ የሚሰጠው ሀይል ቀላል አይደለም፤ያሰበውን ለማሳካት የሚፈልገውን መደላድል የፈጠረ ይመስላል። ,0,0,1,0,0,1
1276,"ራይድ ምን እያረገ ነው? ሆ!

በአዲስ አበባ አገልግሎት ላይ ያለው ራይድ ትራንስፖርት የሚጠቀምበት አፕልኬሽኑ ላይ መሀል አዲስ አበባ
መስቀል አደባባይ kera addis ababa, oromia ይላል???? 
""ፊንፊኔን"" ሳይነግሩን አፀደቋት እንዴ? ",0,1,0,0,0,1
1314," አንዴ እተጌ ጣይቱ ለሀብቴ አባመላ  ""እኔ ነኝ አንድ እግሬን ጎንደር፤ አንድ እግሬን ሸዋ አድርጌ የምገዛው"" ሲሉ የሰሙት አለቃ ገ/ሃና ""ንግሥት ሆይ! ሺ ዓመት ይንገሡ አንድ እግሮን ጎንደር ሌላውን ሸዋ ሲያደርጉ የመኃሉን ለእኔ ይስጡኝ"" ብለው ተገረፉ።",0,1,0,0,0,1
1346, ጌታ ሆይ በህልምህ ነው በለኝ። ይሄኮ ምርጫን ለማሸነፍ the best groundspeed! ፓርቲያችን ጠቅላላ ጉባዔውን ለመጥራት ዝግጅቱን ይጀምራል መግለጫው በዛን እለት ,0,0,0,1,0,1
1401,"  ""...ሰው ግን እንደዚ አይነት ምስቅልቅል ውስጥ ሆኖ እንደዚ ዘና ማለት.. ይሄ ከፈጣሪ ነው""",0,0,1,0,0,1
1577,አራት ተጨዋቾችን አቁሞ? pukki ጀግና,0,0,1,0,0,1
1602,"amhara bank
አማራ ባንክ የሼር ሽያጩ ሊጠናቀቅ አራት ቀናቶች ብቻ እንደቀሩት ምን ያህሎቻችሁ ታውቃላችሁ?
ባሉት ቀሪ ቀናት ታሪካዊ አሻራችሁን አሳርፉ። ",0,0,1,0,0,1
1603,"ድሮ ራስ አሉላ አባነጋ ጦርነት ላይ ሳሉ.... የግል መረጃ ሰጪ አማካሪያቸው.. ""ጌታየ አሁን መሉበሙሉ ተከበናል"" ይላቸዋል ራስ አሉላ ሲመልሱ ""አሁን ጥሩ ወደፈልገው አቅጣጫ እንተኩሳለን"" አሉት ይባላል አሁንም ጥሩ ነው ለኛ ለማለት ያህል ነው!!",0,0,1,0,0,1
1607,   የሚደንቅ ነው። እሺ ስለ ፕሬዝደንት ነጋሶ አሿሿም የተናገረውስ? መጽሀፉን ያነበበ ሰው እግረ መንገዱን ቢያረጋግጥልን ሸጋ ነበር።,0,0,0,1,0,1
1612,"rt  ይገርመኛል  :) 

ራሱን ሲያበለፅግ የከረመ የእንብላው ስብስብ ስሙን ቀይሮ አዲስ ሱፍ ለብሶ ብልፅግና ብሎ ከች 

አገሬ ይቅናሽ",0,1,0,0,0,1
1640,"rt  ከረጅም ወራቶች በሗላ የታክሲ ላይ ክራሽህን ሰልፍ ላይ ስታገኛት....
ሰኞ be like, ሀሪፍ እንደምሆን ነግሬህ ነበር!",0,0,1,0,0,1
1661,35 ዓመታትን በስልጣን የቆዩት የኮንጎው ፕሬዝዳንት ድጋሚ በምርጫ ሊወዳደሩ ነው ,0,0,0,0,0,1
1678,የኃይማኖት መፃዒ ዕጣ ፈንታ ምን ሊሆን ይችላል? ,0,0,1,0,0,1
1687,የፈሩት ይደርሳል የጠሉት ይወርሳል የሚባለው ተረት በዶናልድ ተረምፕ ደርስዋል እንዳንል ታናሽ ልጁ የናጄሪያ አረብ ልታገባ ነው የሚለው ዜና ውሸት መሆኑ ተረጋገጠ::youngest trump daughter's engagement to lebanese/nigerian is #fakenews   ,0,1,0,0,0,1
1716,እንዴት አንድ  ትልቅ ህዝብ አንድ ግለሰብ ነፃ ያወጣኛል  ብሎ ተኝቶ ይጠብቃል ????,0,0,1,0,0,1
1728,"ዛሬ ደሞ ""አብርሃም ሊንከን በእናቱ አማራ ነው"" የሚል አክቲቪስት መጥቷል

ጌታ ሆይ አረ ቶሎ ና !!",0,0,1,0,0,1
92,የእንግሊዝን የጦር ካምፕ ሰብረው ሊገቡ ነበር የተባሉ 3 ሰዎች ተያዙ ,0,0,1,0,0,1
240,"በሞጣ መስጅድ  ቃጠሎ  እጃቸው  እንዳለበት የሚጠረጠሩ ፖሊሶች ራሳቸው መያዝ ሲገባቸው ወንጀለኞችን እንዲይዙ  እየተላኩ መሆናቸውን የሀሩን ቲዩብ ምንጮች ገለጹ
ሃሩን ቲዩብ መረጃ ",0,0,1,0,0,1
252,"ሶስተኛው የአለም ጦርነት ሊጀመር ይመስላል። አሜሪካ በፈጠርሽ ምርጫውን እስክናደርግ ዙሩን አታክርሪው እኛም መሳተፍ እንፈልጋለን። 
ሳተላይት አለንኮ! ",0,0,1,0,0,1
267,"መጅሊስ ለአማራ ክልል 
መንግሰት የሰጠዉ የግዜ ገደብ 
በማለቁ ነገ መግለጫ ይሠጣል!",0,0,1,0,0,1
320,  ስልጣን ላይ ያለ ፓርቲ ከተፎካካሪ ፓርቲ ጋር አንድ ላይ ሊሰራ የሚችልበት እድል አለ ብለን ማሰባችን ራሱ ትልቅ ለውጥ ነው። በ97 መንግስት ታንክ መሃል አ.አ ከሚያስገባ ይህ ሆኖ ቢሆን... ብቻ ምርጫ ክርክር ሲደርስ እኮ ማን ምን ይዞ እንደመጣ ይታያል።,0,0,1,0,0,1
334,በኮሮናቫይረስ ሳይያዙ አይቀሩም ተብለው የተጠረጠሩት ኢትዮጵያውያን ከቫይረሱ ነጻ መሆናቸውን ተነገረ ,0,0,1,0,0,1
387,"ዳንኤል 10 (daniel)
10፤ እነሆም፥ አንዲት እጅ ዳሰሰችኝ፥ በጕልበቴና በእጄም አቆመችኝ።",0,0,1,0,0,1
437,ሲቀጥል ያለሁበት ሩም exit sign አለው ግን እንዳለው ያወቀኩት ወር አካባቢ ከቆየው በሗላ ነው,0,0,1,0,0,1
439,rt  ከመጨረሻው ዘመን ምልክቶች አንዱ  ,0,0,1,0,0,1
494,"በራ ነው ዘንባ  
 ጣራው ላይ ዱቅ ያለችው ",0,0,1,0,0,1
536,"የኢትአየርመንገድ አብይ ኖቤል ተሸለመ ብሎ ተማለቅለቅ በኛው ፓይለቶች እየበረሩ ከኛ በኋላ ተቋቁመው ደህንነታቸው አስተማማኝ የተባሉት ካታር፣ኢምሬትስ፣ኢትሀድ እንዲሁም ሲንጋፖርም ጭምር ሲጠራ ስሙ አለመጠራቱ ሊቆጨው ይገባል
",0,0,1,0,0,1
684,የልደቱ ፓርቲ እየመጣላችሁ ነው እንዴት እንዳልታየኸ? ,0,0,1,0,0,1
737, አንዳንዴ እውነት ተራራ ፈንቅሎ ይወጣል ,0,0,1,0,0,1
742,አቶለማ ከዝህ በፌት ከተናገራቸው ንግግሮች እኔና አብይን ሞት እንጂ የሚለየን የለም ነበር ያለው በመሀል ሜዳ ወራጂ አለ ብሎ አረፈው የሚገርም  መቼም ይሄን ብለክ በስልጣንክ መቆየት ለሀገር አደጋ ነው  ዘረኝነት መጥፎ ነው ,0,0,1,0,0,1
765,ገለልተኛው  ሐዋርያ  ሲሳይ  አጌና  እንድተነበየው   አብይ  አህመድ  የሚመራው  ቡድን  በምርጫ  ካላሸነፈ  ኢትዮጵያ  ወደ  ሰማይ  ልታርግ  ትችላለች!  አይ  ሐዋርያው!,0,0,1,0,0,1
835,"ሁለት ሰዎች ሬስቶራንት ዉስጥ ሂሳብ ለመክፈል ሲከራከሩ አየው, እስክመደባደብ ደረጃ ሊደርሱ ሲሉ ሁለቱንም አባረሩአቸው, ምን ለማለት ነው? አዲስ የሂዎት ዘዴ ተምሬአለው ",0,0,1,0,0,1
864,አህመዲን  ጀበል  የተባልው  ጭሎ ለአሜሪካ  ፀሎት  ማድረግላይ  ይሆን?  አንድ  ቀን  ጏንታናሞ  መላኩ  አይቀሬ  ነው!,0,0,1,0,0,1
951,"_ግብ ጠባቂው አማኑኤል ኳሱን ክሮስ የሚያደርገው መስሎት ከጎሉ ወደ ውጭ ፈቀቅ ብሏል፣

_ኳሱ የተመጠነ ስለሆነ ኤማኑኤል ኳሱን ሳያቆም፣ በቀኝ እግሩ መታው፣ ጎልም ሆነ።",0,0,1,0,0,1
972, ጌታ ሆይ አካዉንቱ ሀክ ተደርጎ ነው በለኝ,0,0,1,0,0,1
1044," እነግርሻለሁ ሀና።  የ'ብሔር ጭቆና' ትርክቱ ወደ 'ባርነት' አድጎ፤ የዘር አቀንቃኙ የነፃነት ታጋይ ሆኖ ሲቀርብ ነገሩ ደነቀኝ
please note that i have sympathy for the kid",0,0,1,0,0,1
1075,#ethiopian - አቶ ታዬ የኦዲፒ ከፍተኛ ባለስልጣን አፈረጠው አቶ ለማ በዚሳምንት ምነካው ሲገለጥ ።  via ,0,0,1,0,0,1
1095,"ማቲ2
1-2፤ኢየሱስም፡በይሁዳ፡ቤተ፡ልሔም፡በንጉሡ፡በሄሮድስ፡ዘመን፡በተወለደ፡ጊዜ፥እንሆ፥ሰብአ፡
ሰገል፦የተወለደው፡የአይሁድ፡ንጉሥ፡ወዴት፡ነው፧ኮከቡን፡በምሥራቅ፡አይተን፡ልንሰግድለት፡
መጥተናልና፥እያሉ፡ከምሥራቅ፡ወደ፡ኢየሩሳሌም፡መጡ። ",0,0,1,0,0,1
1119, የጌታ መምጣት አየረሁድና አሀረዛብን  ያስቀረ ነው ሜን ኘልካም ገና ጌታ በልባችን ይወለድ,0,0,1,0,0,1
1187," huh?...""...ናቸው ብሎ ያስባልን?..."" ደመቀ መኮንን አስቦ ያውቃል እንዴ ለመሆኑ?",0,0,1,0,0,1
1206,"ብፓና ኢዜማ ውይይት ጀመሩ ተባለ።
ሲጀመር ጨቅላው ለአንዳርጋቸው ፅጌ ሹክ ያለው ነገር ይኸንኑ ነበር።",0,0,1,0,0,1
1245,ሰውየው የኦዲፒን ገመድ በመበጠስ የአንድ ክልል ተመራጭነቱ አብቅቷል፤በኢህአዴግ ግብአተመሬት ላይም የሁሉም ክልል(95%) ወካይ ፓርቲዎች መሪ ሆኗል።ይህ የሚሰጠው ሀይል ቀላል አይደለም፤ያሰበውን ለማሳካት የሚፈልገውን መደላድል የፈጠረ ይመስላል። ,0,0,1,0,0,1
1401,"  ""...ሰው ግን እንደዚ አይነት ምስቅልቅል ውስጥ ሆኖ እንደዚ ዘና ማለት.. ይሄ ከፈጣሪ ነው""",0,0,1,0,0,1
1577,አራት ተጨዋቾችን አቁሞ? pukki ጀግና,0,0,1,0,0,1
1602,"amhara bank
አማራ ባንክ የሼር ሽያጩ ሊጠናቀቅ አራት ቀናቶች ብቻ እንደቀሩት ምን ያህሎቻችሁ ታውቃላችሁ?
ባሉት ቀሪ ቀናት ታሪካዊ አሻራችሁን አሳርፉ። ",0,0,1,0,0,1
1603,"ድሮ ራስ አሉላ አባነጋ ጦርነት ላይ ሳሉ.... የግል መረጃ ሰጪ አማካሪያቸው.. ""ጌታየ አሁን መሉበሙሉ ተከበናል"" ይላቸዋል ራስ አሉላ ሲመልሱ ""አሁን ጥሩ ወደፈልገው አቅጣጫ እንተኩሳለን"" አሉት ይባላል አሁንም ጥሩ ነው ለኛ ለማለት ያህል ነው!!",0,0,1,0,0,1
1640,"rt  ከረጅም ወራቶች በሗላ የታክሲ ላይ ክራሽህን ሰልፍ ላይ ስታገኛት....
ሰኞ be like, ሀሪፍ እንደምሆን ነግሬህ ነበር!",0,0,1,0,0,1
1678,የኃይማኖት መፃዒ ዕጣ ፈንታ ምን ሊሆን ይችላል? ,0,0,1,0,0,1
1716,እንዴት አንድ  ትልቅ ህዝብ አንድ ግለሰብ ነፃ ያወጣኛል  ብሎ ተኝቶ ይጠብቃል ????,0,0,1,0,0,1
1728,"ዛሬ ደሞ ""አብርሃም ሊንከን በእናቱ አማራ ነው"" የሚል አክቲቪስት መጥቷል

ጌታ ሆይ አረ ቶሎ ና !!",0,0,1,0,0,1
19,የሚገርም የብሔር ትርጓሜና ሌሎችም አሉበት። መደመጥ ያለበት። ,0,0,0,1,0,1
131, ቢቀላቀሉ ኖሮ ነበር እኮ የሚገርመው::,0,0,0,1,0,1
256,ልደቱ ሰዎስት አማራጭ ቀርቦለት ይለፈኝ አለ ። ጎበዝ ጠያቂዎም በተራዎ ተመሳሳይ ጥያቄ ሚመስል ይለፈኝ አለች ። ይገርማል ላገር የምንሰራና የምንቆረቆር እንጂ ...አይደለንም ጁሀር ሁላ,0,0,0,1,0,1
528,   አጋር ፓርቲም ሆኖ የመኖር ፍላጎት አሳይታለች....አሮጊቷ ,0,0,0,1,0,1
698,  ከማርጠብ በላይ የሰውዬው መንጨርጨር ይገርማል? ቅና ያለው ልጅ በአባቱ *ላ ይቀናል የተባለው ያለምክንያት አይደለም,0,0,0,1,0,1
788,"how on earth
እቴ እሜቴ የሎሚ ሽታ
ያ ሰውዬ ምን አለሽ ማታ
ምንም ምንም አላለኝ
ትዳሩን ፈቶ ልውሰድሽ አለኝ።
became children's song?",0,0,0,1,0,1
858,ሁሌ ልገርበው አነሳውና በየምዕራፉ መግቢያ ያሉት ግጥሞችን ነካክቼ . . ሁሌ እንደ አዲስ አስገርመውኝ አስቀምጠዋለሁ። ,0,0,0,1,0,1
882,"rt  ሳቅ ጥሩ ነው መቼስ...

አብይ የኦቦ ለማን ንግግር ሰምቶ ምን አለ?

ኦቦ ለማ እርስዎም?

",0,0,0,1,0,1
957, በጣም! ለመመረቂያ ፅሁፍ ይኼን ያህል መሄዱ . . በዛ ላይ የመግቢያ ግጥሞቹ ለጉድ ይገርማሉ!,0,0,0,1,0,1
994,ይህ ማለት ሀሳባቸው የግድ ሁሌ አንድ ይሆናል ማለት አይደለም! የየራሳቸው ህልውና ያላቸው ሰዎች ናቸውና! ስለዚህ አቶ ለማ ከዶክተሩ በሃሳብ ቢለያዩ ምን ያስደንቃል!! ጎበዝ ነገሩን አናቅልል! ,0,0,0,1,0,1
997,ethiopia: ጀግናው ታዬ ቦጋለ አሁን ያደረገው አስገራሚ ንግግር  via ,0,0,0,1,0,1
998, የጀመርኩትን ሳልጨርስማ አልሄድም ብሎ መሰለኝ....ብቻ ሰይጣን አያሳስትህ...ወገቡ ግን ተረፈ?,0,0,0,1,0,1
1115,"የሁሉም አካል ድምፅ መሰማት አለበት፣ ሆቴል ውስጥ ለሚደረግ ጋዜጣዊ መግለጫ ደግሞ እንደ ሰላማዊ ሰልፍ ""ፈቃድ"" ያስፈልጋል መባሉ ግርምትን ይጭራል። ለማንኛውም የመግለጫው ዝርዝር ሲደርሰኝ አቀርበዋለሁ።",0,0,0,1,0,1
1166,"አንዱ ሹፌር አጠገቤ ቁጭ በሎ
እየቃም ትራፊክ ከሩቅ ሲያይ ለምዶበት
ተርዚናውን ሉሉ አለው",0,0,0,1,0,1
1346, ጌታ ሆይ በህልምህ ነው በለኝ። ይሄኮ ምርጫን ለማሸነፍ the best groundspeed! ፓርቲያችን ጠቅላላ ጉባዔውን ለመጥራት ዝግጅቱን ይጀምራል መግለጫው በዛን እለት ,0,0,0,1,0,1
1607,   የሚደንቅ ነው። እሺ ስለ ፕሬዝደንት ነጋሶ አሿሿም የተናገረውስ? መጽሀፉን ያነበበ ሰው እግረ መንገዱን ቢያረጋግጥልን ሸጋ ነበር።,0,0,0,1,0,1
9,ሰላም ይሻለናል ይቅርብን ባህር በሩ በዚህ ደግሞ ነካክተህ ከኤርትራ ጋር ወደ ጦርነት ልትጋፍጠን።,0,1,1,0,0,0
60,በፍፁም ጥሩ ንግግር አይመስለኝም! ሳይታሰብ የተነገረ ግን እደገኛ ንግግር! ክቡር ጠሚ ይታረሙ!,1,0,1,0,0,0
88,አላህ ይሄን የመሰለ እውቀት እስከዛሬ ድረስ ለኢትዮጵያ ሙስሊሞች ተደራሽ ባለማድረግህ እንዳይጠይቅህ እፈራለሁ አሁን ተደራሽነትህን እንድታስፋፋው ስል በወንድማዊ ፍቅር እጠይቅሃለሁ አላህ የተሻለ እና በሳል የሆነ አመክንዮአዊ አመለካከትና ጥልቅ የእስልምና እውቀት ሰጥቶሀል ህዝቦችህን ጥቀምበት አላህ ይውደድህ በርታልን,0,0,1,1,0,0
104,እኛ የምንለው መንግስት እንደዚህ አይነት አረመኔዎችን ለጥቅምነ በአጉል ጥላቻ ተነሳስተው የሰውን ኩቡር ነብስ የሚያጠፉትን ሁሉ በግልፅነ በአደባባይ በተበዳዮችነ በህዝብ ፊት ሞት ፍርድ ይፍረድነ በህዝብ ፊት ይገደሉ  ይህ ከሆነ ማንም በማን ግድያ ቀርቶ ቃላቱም አይኖርም ሌላ ሁሉ ከዛ በኋላ በራሱ ጊዜ ፈር ይይዛል አለበለዚያ ግን እጅግ አስፈሪ ጊዜን ወይም የበሰ ጊዜን እጠብቀለን  2ልጆችን ያረደቿ 2ልጆችን አባተቸው ስራ በሄደበት አቀጥላ የገ,1,0,1,0,0,0
153,ጀዋር ጀግና የተባለው በምን ምክንያት ነው ኢትዮጵያ ላይ ምንም የተቀየረ ነገር የለምኮ  ደረጄ ራሱ የት ነበርክ ጠፍተህ ነበር በድንገት ከየት ተከሰትክ እንዲህ ዓይነት ድንገተኛ Interview ብዙ ነገር እንድጠራጠር ያደርገኛል,1,0,1,0,0,0
215,ደስተኛ የማይሆን አለ ብለህ ነው? ሞቲቩ ፖለቲካዊ ይዘት አለው የሚል ስጋት አድሮበት እንጂ,0,0,1,0,0,0
232,የፈራሁት እሡን ነዉ እደኔናትወሠድ መለሥ ያረጋታል,0,0,1,0,0,0
253,ሀይማኖት ወይንም እምነት ከሁሉም በላይ መሆኑን የማታውቁ ብልጽግናዎች አለማወቃችሁ ምን አልባት የማይመለስ ኪሳራ ውስጥ እንዳያስገባችሁ ስጋት አለብኝ።,0,0,1,0,0,0
346,ሰበርበአዲስ አበባ ያልታሰበ አስደንጋጭ ጉድ እልቂት ተደግሷል ጌታቸውና ታደሰ ወረደም አአ ናቸው Abel birha via,0,0,1,0,0,0
348,በጣም ያስጨንቃል ቀጣይ ምን ሊሆን ነው 😂,0,0,1,0,0,0
353,ኧረ ተው የዚች ልጅ እንባ ግፍ እንዳይሆንብህ🤔🤔🤔,0,0,1,0,1,0
356,ሰውነት ሴትነትና ጤናማ ማህበረሰብነት ላይ የተደቀነ አስፈሪ አደጋ ?,0,0,1,0,0,0
362,በስመ አብ ወወልድ ወመንፈስ ቅዱስ አሀዱ አምላክ አሜን አቤቱ ምግባረ ደካማ ነኝ እና እኔ እሆንን እንደ ሎጥ ሚስት የጨው ሀውልት ሆኘ እምቀረው ወይስ ያች ዘማዊቷ ሴት የሁለቱም ምግባር በኔ ላይ አለና ሁሌም እፈራለሁ እሱ እስኪመልሰኝ ድረስ,0,0,1,0,0,0
401,እፍፍይች አለም ላንዱ ስቃይ አዚዜ ና ጀብዴት የአላህ ሰላም በአለም ላይ የሰው ዘር በሙሉ ኢትዮጵያዬን ሰላምም እንዴት ያስፈራል,0,0,1,0,1,0
423,እንደ ሀገር ያለንበት ሁኔታ እጅግ ያስፈራል ኦርቶዶክስ ቤተክርድቲያን ላይ ያለው ደባ የባሶች ግዢ ሌብነት ሙስናው የረሀብ ጉዳይ የኑሮ ውድነት እግዚአብሔር መልካም ያድርግልን,0,0,1,0,1,0
471,በቅርቡ ኢትዮጵያን እንደጎኘሁት የማይፈራ ሰውም ሆነ ተቋም አላየሁምከፍርሃቱ ቀላል መንገድ አድርጎ የታዬው ደግሞ ነፍጥ ማንሳት ነውየበለጠ አስፈሪ ነውእየሆነ የቀጠለው ግን ይኸው ነውመሪዎቹ ደግሞ ወጣቶች ናቸውይህ ደግሞ አስፈሪነቱን ረጅም ጊዜ የሚቆይ ያደርገዋል,0,0,1,0,0,0
493,ምነው አህመድ ቴሌግራም ላይ ያለውን ባትለቀው እኛ እደነሱ ጨካኝ ልብ የለን እደት እደደነገጥኩኝ,0,0,1,0,1,0
545,አሁን በትክክክል ትዛዝ ተቀባይነትዎን ይፋ አደረጉ በንፁሃን ደም እና ንብረት ውድመት የነጮች አላማ አስፈፃሚ መሆን እጅግ ያማል ይበልጥ የሚያስፈራው በቀጣይም የተደገሰው አሻጥራዊ የሞት ድግስ ነው ምን ያህል ሀዝብ መጨረስ ይሆን እቅዱ ፈጣሪ ይሁነን,0,1,1,0,1,0
577,ወይኔ ስያስፈራ ደግሞ ለካ ጦርነት እንዲህ ነው ሚዋጉት የኛዎቹም  ጦርነት ሲወራ ና በተግባር ይለያያል በተግባር ስያስፈራኣምላኬ ሆይ ጦርነትን ኣጥፋልን,0,0,1,0,0,0
659,ወደ ፍቅር ከመቀየሩ በፊት መላ በይኝ,0,0,1,0,0,0
754,ደህና ነው እኛም እንከተላለን ግን ግን ግን ሰላም ኣለ ወይ  እንደልብ መንቀሳቀስ ይቻላል ወይ  በቅርቡ ሄጄ ቤተሰቦቼን ሱሉልታ መሄድ ፈርቼ ሳልጠይቅ መጥቻለሁ ዝርፊያውስ  እገታውስ  መንግስት ምንያህል ተዘጋጅቶዋል  የስልክ ነጠቃውስ  ህዝብ በመንግስት እንዳያዝን ለነመሳይ ደረጀ ሃብታሙን የመሳሰሉ ሃገር ኣፍራሾች በር እንዳንከፍት እፈራለሁ,0,0,1,0,0,0
824,በጣም የማከብረውና የምወደው መሪያችን ኢትዮጲያዬን ዳግም አስደነገጣት ... እኔ ም በጣም ፍርሀት ውስጥ ነኝ... ግን ለምን???😢😢😢😞😞😞🇪🇹🇪🇹🇪🇹,0,0,1,0,0,0
829,መጀመሪያ ኢትዮጵያ አሁን አንድ ነች ወይ? ሃገር ውስጥ ያለው ችግር ሰው ወጥቶ በሰላም የማይገባበት ሀገር ሆነን ግድያው መፈናቀሉ ወዘተ የኑሮ ውድነቱ ሌላ ጦርነት የማስተናገድ አቅም ጰአለ ወይ?,1,0,1,0,0,0
867,ህፃን ልጅ እና ጀዋር ድምፃቸው ሲጠፋ መጠርጠር ጥሩ ነው,0,1,1,0,0,0
910,በጣም ድስ ይላል አቶ ታከለ የጀኦሎጂካል ሰርቬይ መኮስመኑ አሳሳቢ ነዉ የሃድሮጅኦሎጂ ክፍሉ በከፊል ወደ ዉሃ ሀብት መዞሩ ባይጠላም ያለ ከርሰምድር መረጃ ሀ,0,0,1,1,0,0
913,ይሄ መማሪያ ክፍል ነው ወንበሮቹና ክፍሉ ተምሪዎችን እየጠበቁ ነው ከክፍሉ ባዶነት እና መቀመጫ ካጡት ወንበሮች ይልቅ የሚያስጨንቀው የሚያሳስበው የሚቀመጥባቸውና ክ ፍሎቹን የሚሞላው በባዶነት ተስፋና ለምን እንደመጣ በማያቅ ተማሪ የተሞላ ከሆነ ?,0,0,1,0,1,0
923,የኢትዮጵያ ብሔራዊ ስጋት አብይ አህመድ ብቻ ነው እሱ ሲወገድ ሁሉም ነገር አብሮ ይወገዳል,0,1,1,0,0,0
949,ጠንካራ ህግ ከሌለ አሁንም ብዙ ግድያ ብዙ ጭካኔ እናያለን(የገደለን የሚገል ህግ)እሰካልፀደቀ ድርሰ ለቅሶ ይበዛል ገዳይም በነፃነት እየገደለ ታሰሮ በዋሰ በብር እየተለቀቀቀ ተዝናንተ ይኖራል,1,0,1,0,0,0
